title,rating,reviews,type,address,phone,website,latitude,longitude,dine_in,drive_through,no_contact_delivery,city
Crunchy Chicken,0.0,0,restaurants,King Fahd Park Dammam,,,26.40078533333334,50.04076768035661,,,,Dammam
Subway,4.1,724,restaurants,King Fahd Park Dammam,,,26.396311,50.043154,,,,Dammam
Noodlez,4.6,340,restaurants,King Fahd Park Dammam,,,26.3960754,50.04321640000001,,,,Dammam
POSHAK,4.1,490,restaurants,King Fahd Park Dammam,,,26.3963329,50.04297469999999,,,,Dammam
Operation Falafel,4.5,1418,restaurants,King Fahd Park Dammam,,,26.3964183,50.0429002,,,,Dammam
Mille Feuille,3.9,95,restaurants,King Fahd Park Dammam,,,26.39631739240626,50.04296457301636,,,,Dammam
Maadoba,4.5,592,restaurants,King Fahd Park Dammam,,,26.4029643,50.0393206,,,,Dammam
EASTWING BURGER,4.6,18,restaurants,King Fahd Park Dammam,,,26.4139611,50.1188852,,,,Dammam
Manoosha Alreef,4.3,621,restaurants,King Fahd Park Dammam,,,26.39633,50.042701,,,,Dammam
Honey Logimat,4.2,66,restaurants,South Khobar Area,,,26.20068263669534,50.20415532023775,,,,Khobar
Premium Juice Bar,4.4,35,restaurants,South Khobar Area,,,26.20066598680656,50.19442064005888,,,,Khobar
Cinnzeo,3.5,12,restaurants,South Khobar Area,,,26.35958529334653,50.20745222229843,,,,Khobar
Starbucks®,4.5,244,restaurants,South Khobar Area,,,26.3599042,50.2059917,,,,Khobar
ornj,4.6,33,restaurants,South Khobar Area,,,26.33972230202861,50.15171643757323,,,,Khobar
PHOBIA,4.5,81,restaurants,South Khobar Area,,,26.3608406273968,50.20630698769683,,,,Khobar
Baba Khabbaz,4.4,763,restaurants,South Khobar Area,,,26.361729,50.20613609999999,,,,Khobar
Okashi,4.4,442,restaurants,South Khobar Area,,,26.35985,50.18955,,,,Khobar
Mille Feuille,4.4,164,restaurants,South Khobar Area,,,26.35984236014627,50.18887729999998,,,,Khobar
SOT,4.6,11,restaurants,South Khobar Area,,,26.3628698,50.2059282,,,,Khobar
BRG.,4.5,2,restaurants,South Khobar Area,,,26.3629275,50.205763,,,,Khobar
Alfakhaar Aleadani,4.4,35,restaurants,Dhahran Sports Club,,,26.2638262,50.1905297,,,,Dhahran
Thouq Aden,3.9,12,restaurants,Dhahran Sports Club,,,26.270788,50.195829,,,,Dhahran
Distinctive Taste Restaurants,4.0,3,restaurants,Dhahran Sports Club,,,26.326147,50.167031,,,,Dhahran
Solo Pollo,3.7,23,restaurants,Dhahran Sports Club,,,26.2912882,50.20144070000001,,,,Dhahran
Engineering Maesub,4.4,272,restaurants,Dhahran Sports Club,,,26.32664949999999,50.16708920000001,,,,Dhahran
Shawarmer,4.4,1715,restaurants,Dhahran Sports Club,,,26.304425,50.197973,,,,Dhahran
IMPASTO,4.5,2,restaurants,Dhahran Sports Club,,,26.2980625,50.2006589,,,,Dhahran
Al Waseed,4.4,177,restaurants,Dhahran Sports Club,,,26.3270218,50.1678104,,,,Dhahran
Al Romansiah,4.5,2769,restaurants,Dhahran Sports Club,,,26.2829628,50.2017203,,,,Dhahran
Luini Bakery,5.0,6,restaurants,Dhahran Sports Club,,,26.2987617,50.20080650000001,,,,Dhahran
Wing King,4.0,58,restaurants,Dhahran Sports Club,,,26.29880343890476,50.20081588773154,,,,Dhahran
Mokhtar Pastry,4.1,35,restaurants,Dhahran Sports Club,,,26.3271876,50.1679372,,,,Dhahran
8pot,4.4,185,restaurants,Al Khobar Promenade,,,26.3981452,50.0466668,,,,Khobar
Mugalat Al Fareej,4.4,460,restaurants,Al Khobar Promenade,,,26.39816260537011,50.046656355785,,,,Khobar
FARTAKA,4.2,51,restaurants,Al Khobar Promenade,,,26.42185705083376,50.07354100495837,,,,Khobar
Om Ali,4.3,314,restaurants,Al Khobar Promenade,,,26.2817178,50.20178180000001,,,,Khobar
Grilled burger,3.9,88,restaurants,Al Khobar Promenade,,,26.40988335,50.0572025,,,,Khobar
MANZO,4.3,46,restaurants,Al Khobar Promenade,,,26.3100877,50.22332899999999,,,,Khobar
Four Seasons,4.4,22,restaurants,Al Khobar Promenade,,,26.28785853433331,50.20830207011414,,,,Khobar
Mama Rabab,4.5,16,restaurants,Al Khobar Promenade,,,26.2953,50.214505,,,,Khobar
SOUL BOWL,4.7,883,restaurants,Al Khobar Promenade,,,26.3101817,50.2236269,,,,Khobar
eclipse,4.6,104,restaurants,Al Khobar Promenade,,,26.3095625,50.2234375,,,,Khobar
Salt Crepe,4.2,10,restaurants,Al Khobar Promenade,,,26.2897354,50.2103052,,,,Khobar
Damascus barbecue house,4.4,221,restaurants,Al Khobar Promenade,,,26.2950338,50.214621,,,,Khobar
Madghot Basamati,4.2,17,restaurants,Dhahran Mall,,,26.217693,50.207207,,,,Dhahran
Third Wave,4.5,216,restaurants,Dhahran Mall,,,26.391964,50.072816,,,,Dhahran
Mandi Alghurub,4.3,135,restaurants,Dhahran Mall,,,26.21762976432165,50.20741708376217,,,,Dhahran
Sikkat Karak,4.5,499,restaurants,Dhahran Mall,,,26.21753301290401,50.20744409999999,,,,Dhahran
Tea & Sesame,3.0,1,restaurants,Dhahran Mall,,,26.20991178761921,50.19951759522232,,,,Dhahran
DOLMA FACTORY,4.4,172,restaurants,Dhahran Mall,,,26.2159556,50.2077226,,,,Dhahran
Bin Aqoul,4.6,203,restaurants,Dhahran Mall,,,26.393618,50.072541,,,,Dhahran
Pause,2.0,2,restaurants,Dhahran Mall,,,26.22010575115667,50.21243632813875,,,,Dhahran
UTTER FLOWER & COFFEE,4.3,27,restaurants,Dhahran Mall,,,26.22012745253733,50.21262506210125,,,,Dhahran
Donut Time,4.6,84,restaurants,Dhahran Mall,,,26.210374,50.205743,,,,Dhahran
Falaafel And Shawarma Alaa Kayfik,4.4,109,restaurants,Dhahran Mall,,,26.208705,50.208118,,,,Dhahran
USTA GHAZI SHAWARMA,4.4,55,restaurants,Dhahran Mall,,,26.1966552,50.1933403,,,,Dhahran
Um Ateyah,3.3,32,restaurants,King Fahd Park Dammam,,,26.42404,50.021912,,,,Dammam
Deaat Beirut Restaurant,3.9,63,restaurants,King Fahd Park Dammam,,,26.437615,50.1291045,,,,Dammam
Waraq Enab Dhuq Almahashy,3.4,13,restaurants,King Fahd Park Dammam,,,26.3644305,50.07133839999999,,,,Dammam
Bludan,4.5,28,restaurants,King Fahd Park Dammam,,,26.437669,50.129174,,,,Dammam
Shawarma and delicious pastries,4.6,7,restaurants,King Fahd Park Dammam,,,26.3641218,50.0747321,,,,Dammam
Balah Alsham,4.5,10,restaurants,King Fahd Park Dammam,,,26.36636859362858,50.06058900737496,,,,Dammam
Sweet A,0.0,0,restaurants,King Fahd Park Dammam,,,26.3944088,50.0256434,,,,Dammam
Falafel Amo Basil,4.7,102,restaurants,King Fahd Park Dammam,,,26.3639407,50.0710184,,,,Dammam
Manoosha Station,4.2,560,restaurants,King Fahd Park Dammam,,,26.3636503,50.0738934,,,,Dammam
Muajnat Toot Al Sham,4.3,26,restaurants,King Fahd Park Dammam,,,26.4133012,50.02017300000001,,,,Dammam
Sweet Duluni,4.9,8,restaurants,King Fahd Park Dammam,,,26.36364203525219,50.0711260577861,,,,Dammam
Chef & Beef,4.5,36,restaurants,King Fahd Park Dammam,,,26.36554559999999,50.0949975,,,,Dammam
Olena,4.9,11,restaurants,Central Dammam Al Danah,,,26.3611062,50.07414600000001,,,,Dammam
In & Out Falafel,4.5,194,restaurants,Central Dammam Al Danah,,,26.3610668,50.07421009999999,,,,Dammam
Basatin Al Sham Pastries,0.0,0,restaurants,Central Dammam Al Danah,,,26.3624996,50.0696357,,,,Dammam
Fatafeet AlSker,0.0,0,restaurants,Central Dammam Al Danah,,,26.3676953,50.0578987,,,,Dammam
Tiba Pastries,4.6,22,restaurants,Central Dammam Al Danah,,,26.365917,50.061389,,,,Dammam
Pure Calories,4.1,7,restaurants,Central Dammam Al Danah,,,26.3608125,50.0741875,,,,Dammam
Prestige Box,4.4,5,restaurants,Central Dammam Al Danah,,,26.3988569074385,50.0245490766145,,,,Dammam
Grape leaves Origin Mahashi,3.7,19,restaurants,Central Dammam Al Danah,,,26.36069736710486,50.07418543172794,,,,Dammam
Mandi alghurub,4.1,63,restaurants,Central Dammam Al Danah,,,26.3621189,50.06842779999999,,,,Dammam
Dakka juice,5.0,3,restaurants,Central Dammam Al Danah,,,26.40774930000001,50.1889244,,,,Dammam
Bomboloni,4.7,10,restaurants,Central Dammam Al Danah,,,26.40780584889166,50.18897932883604,,,,Dammam
PARTY BOX,4.6,545,restaurants,South Khobar Area,,,26.3446185,50.14482169999999,,,,Khobar
Kottouf Sweets,4.4,110,restaurants,South Khobar Area,,,26.3453144,50.1439603,,,,Khobar
Makbous Express,4.3,1211,restaurants,South Khobar Area,,,26.190852,50.190024,,,,Khobar
Nutrifix,4.6,303,restaurants,South Khobar Area,,,26.36719695553129,50.18606431230316,,,,Khobar
Restaurants Abu Samra,4.5,26,restaurants,South Khobar Area,,,26.3445625,50.1385625,,,,Khobar
Sakbat Aseer,5.0,2,restaurants,South Khobar Area,,,26.3472956,50.14140899999999,,,,Khobar
Al - Fareej Sweets & Nuts,4.5,55,restaurants,South Khobar Area,,,26.34492705,50.13771350597018,,,,Khobar
Chef's Roll,4.4,17,restaurants,South Khobar Area,,,26.34594209999999,50.13730959999999,,,,Khobar
Baker's Secret,4.7,134,restaurants,South Khobar Area,,,26.346548,50.13675,,,,Khobar
Ftoor Altaybeen,4.5,416,restaurants,South Khobar Area,,,26.186266,50.186423,,,,Khobar
Kabst Qadr,4.1,24,restaurants,West Dammam Al Faisaliyah,,,26.4553715,50.1188048,,,,Dammam
Sweetest Juice And Crepe,4.6,35,restaurants,West Dammam Al Faisaliyah,,,26.3792351,50.0583376,,,,Dammam
The Burger's Origin,4.4,1469,restaurants,West Dammam Al Faisaliyah,,,26.3792253,50.0581956,,,,Dammam
Philpha,4.4,230,restaurants,West Dammam Al Faisaliyah,,,26.3791559,50.05818379999999,,,,Dammam
Hoba,4.5,728,restaurants,West Dammam Al Faisaliyah,,,26.3791559,50.05818379999999,,,,Dammam
Different Bukhari,4.4,641,restaurants,West Dammam Al Faisaliyah,,,26.4133379,50.0312712,,,,Dammam
Lunch Fish Restaurant,4.9,11,restaurants,West Dammam Al Faisaliyah,,,26.42299302007618,50.03058866071319,,,,Dammam
Abo kilo,4.4,216,restaurants,West Dammam Al Faisaliyah,,,26.3788006,50.0586683,,,,Dammam
Hero,4.2,181,restaurants,West Dammam Al Faisaliyah,,,26.3788006,50.0586683,,,,Dammam
Bro,4.3,259,restaurants,West Dammam Al Faisaliyah,,,26.3788006,50.0586683,,,,Dammam
Herfy,4.3,538,restaurants,Tamimi Markets Khobar,,,26.361579,50.206388,,,,Khobar
GRLD,4.5,174,restaurants,Tamimi Markets Khobar,,,26.36142750794171,50.20635327301633,,,,Khobar
Repeat Coffee,4.4,86,restaurants,Tamimi Markets Khobar,,,26.36126680394698,50.20651899999491,,,,Khobar
Maqadeer Restaurant,4.6,50,restaurants,Tamimi Markets Khobar,,,26.3608935,50.2065162,,,,Khobar
Title.,4.5,108,restaurants,Tamimi Markets Khobar,,,26.36090251690987,50.20620589998636,,,,Khobar
Huge,4.2,5,restaurants,Tamimi Markets Khobar,,,26.3606865,50.2067896,,,,Khobar
The Hub,4.8,71,restaurants,Tamimi Markets Khobar,,,26.36055402812167,50.20658718095091,,,,Khobar
Shrimp Caption,4.7,30,restaurants,Tamimi Markets Khobar,,,26.3606627,50.20569279999999,,,,Khobar
ASADO,4.6,26,restaurants,Tamimi Markets Khobar,,,26.36028713542789,50.20671242883606,,,,Khobar
The Don,4.1,12,restaurants,Tamimi Markets Khobar,,,26.359963,50.2067947,,,,Khobar
SWITCH MOOD,4.7,3,restaurants,Tamimi Markets Khobar,,,26.35988099308047,50.20667850407448,,,,Khobar
Sandwich Ga'ar,4.1,8,restaurants,Dhahran Mall,,,26.2785762,50.2074377,,,,Dhahran
Tea and a boat,3.7,7,restaurants,Dhahran Mall,,,26.3476657142267,50.0461781576721,,,,Dhahran
Tea Hessa,4.2,5,restaurants,Dhahran Mall,,,26.24908080000001,50.19836029999999,,,,Dhahran
Al Kanafany Original,4.5,97,restaurants,Dhahran Mall,,,26.3712939,50.0896864,,,,Dhahran
Al Kanafany,4.5,147,restaurants,Dhahran Mall,,,26.37138,50.089999,,,,Dhahran
Old Sham Restaurant,0.0,0,restaurants,Dhahran Mall,,,26.2494247,50.1986498,,,,Dhahran
Bassam Broasted,4.1,18,restaurants,Dhahran Mall,,,26.261724,50.204557,,,,Dhahran
Haba,4.3,234,restaurants,Dhahran Mall,,,26.37001571244007,50.08400159386539,,,,Dhahran
Soul Kitchen,4.8,28,restaurants,Dhahran Mall,,,26.30294129291592,50.20874227790984,,,,Dhahran
Zdo,0.0,0,restaurants,Dhahran Mall,,,26.34375072234838,50.03985764838364,,,,Dhahran
Falafel Al Zad Al Arabi,4.3,121,restaurants,Dhahran Mall,,,26.3712793,50.0861263,,,,Dhahran
Nizami,2.8,10,restaurants,Dhahran Mall,,,26.2964998,50.20989559999999,,,,Dhahran
Lily Café,4.8,45,restaurants,Prince Mohammed Bin Fahd University,,,26.3069758,50.17164189999999,,,,Khobar
Al Tazaj,4.3,994,restaurants,Prince Mohammed Bin Fahd University,,,26.3190127,50.2230949,,,,Khobar
Al Fateerah,4.1,10,restaurants,Prince Mohammed Bin Fahd University,,,26.434814,50.0858302,,,,Khobar
Yamal Al Tayeb,4.5,61,restaurants,Prince Mohammed Bin Fahd University,,,26.4562471,50.1026195,,,,Khobar
Shawerma Teensy,3.6,16,restaurants,Prince Mohammed Bin Fahd University,,,26.4238385,50.0801902,,,,Khobar
Zankil,4.6,33,restaurants,Prince Mohammed Bin Fahd University,,,26.3179075,50.22287019999999,,,,Khobar
Spin Burger,4.3,97,restaurants,Prince Mohammed Bin Fahd University,,,26.3132097,50.21242600000001,,,,Khobar
Le Baroque,4.0,2,restaurants,Prince Mohammed Bin Fahd University,,,26.3064262,50.18304799999999,,,,Khobar
Helvaci Ali,3.8,5,restaurants,Prince Mohammed Bin Fahd University,,,26.3060462,50.1697514,,,,Khobar
SOAVÉ,5.0,3,restaurants,Prince Mohammed Bin Fahd University,,,26.31779455455502,50.22317898139232,,,,Khobar
troy coffee lounge,5.0,3,restaurants,Prince Mohammed Bin Fahd University,,,26.3177815,50.22317899999999,,,,Khobar
Hard Eight,4.7,6,restaurants,Prince Mohammed Bin Fahd University,,,26.3177815,50.22317899999999,,,,Khobar
Pasta & Basta,3.5,51,restaurants,Al Khobar Promenade,,,26.31939571248488,50.22188114232789,,,,Khobar
Lemon and Dbs,3.0,9,restaurants,Al Khobar Promenade,,,26.2780625,50.1899375,,,,Khobar
Vicoli,4.2,25,restaurants,Al Khobar Promenade,,,26.320591,50.222391,,,,Khobar
Golden Brown,5.0,2,restaurants,Al Khobar Promenade,,,26.40374000690681,50.05738285657857,,,,Khobar
Veloce,4.3,373,restaurants,Al Khobar Promenade,,,26.32035570000001,50.2225362,,,,Khobar
Tastiest Dish Restaurants & Kitchens,3.9,27,restaurants,Al Khobar Promenade,,,26.2847386,50.0607869,,,,Khobar
Dalo Juice,5.0,4,restaurants,Al Khobar Promenade,,,26.3018125,50.2134375,,,,Khobar
Adrs,0.0,0,restaurants,Al Khobar Promenade,,,26.28606139999999,50.20020100000001,,,,Khobar
Fattah and Snobar,4.1,644,restaurants,Al Khobar Promenade,,,26.32017778158022,50.22255972698364,,,,Khobar
Panama Coffee,5.0,8,restaurants,Al Khobar Promenade,,,26.2998099,50.21221609999999,,,,Khobar
MYLK,4.5,144,restaurants,Al Khobar Promenade,,,26.3022204,50.2138562,,,,Khobar
Shrimp and Roll,4.3,6,restaurants,Al Khobar Promenade,,,26.3091948,50.2179322,,,,Khobar
Briar Coffee,4.6,18,restaurants,Al Khobar Gate,,,26.451145,50.131132,,,,Khobar
Shrimp Nation,4.3,518,restaurants,Al Khobar Gate,,,26.451321,50.130078,,,,Khobar
Tikka & Kabab Ameen,4.3,362,restaurants,Al Khobar Gate,,,26.37875194071282,50.05871322700102,,,,Khobar
Le Churro Station,4.4,45,restaurants,Al Khobar Gate,,,26.468777,50.060013,,,,Khobar
V60 COFFEE BAR,0.0,0,restaurants,Dhahran Expo Area,,,26.2923194,50.1950514,,,,Dhahran
Mltotah,4.7,7,restaurants,Dhahran Expo Area,,,26.29231699527672,50.19505944662704,,,,Dhahran
Manoosha,4.0,298,restaurants,Dhahran Expo Area,,,26.29230604887195,50.19506245463104,,,,Dhahran
Sugar coated store,4.6,8,restaurants,Dhahran Expo Area,,,26.29300273172325,50.1950469447746,,,,Dhahran
Zamani sweets,5.0,4,restaurants,Dhahran Expo Area,,,26.2932227,50.1950353,,,,Dhahran
KSTR,5.0,1,restaurants,Dhahran Expo Area,,,26.29297988698453,50.19506035581968,,,,Dhahran
BUNDT BAKERY,4.6,22,restaurants,Dhahran Expo Area,,,26.2929759793865,50.19506169692418,,,,Dhahran
layered,4.3,6,restaurants,Dhahran Expo Area,,,26.29298843896334,50.19506572023771,,,,Dhahran
BUROOJ AL-SHAM,3.8,21,restaurants,Dhahran Expo Area,,,26.29059230669778,50.19510056011885,,,,Dhahran
New Sunrise Restaurant,4.1,37,restaurants,Dhahran Expo Area,,,26.290329,50.195237,,,,Dhahran
Herfy,4.6,412,restaurants,Dhahran Expo Area,,,26.324258,50.165041,,,,Dhahran
Al Daffa Gulf,4.0,3,restaurants,East Dammam Al Adamah,,,26.4454716,50.06620030000001,,,,Dammam
GULF DATES,4.2,52,restaurants,East Dammam Al Adamah,,,26.42960902617829,50.07688769814759,,,,Dammam
Eastern Grape Leaves,4.7,71,restaurants,East Dammam Al Adamah,,,26.4160656,50.11488449999999,,,,Dammam
Juices World Taste,4.2,20,restaurants,East Dammam Al Adamah,,,26.4241574,50.0820545,,,,Dammam
Haret Rahal,4.6,621,restaurants,East Dammam Al Adamah,,,26.461946,50.0618,,,,Dammam
Juices Mango Farghali,4.2,11,restaurants,East Dammam Al Adamah,,,26.4620625,50.0616875,,,,Dammam
Koozi Nuri,4.5,217,restaurants,East Dammam Al Adamah,,,26.4217736,50.08526089999999,,,,Dammam
SANABLY BAKERY,5.0,1,restaurants,East Dammam Al Adamah,,,26.4155094,50.1158248,,,,Dammam
Sweet &  Sour,5.0,4,restaurants,East Dammam Al Adamah,,,26.4574438,50.0615591,,,,Dammam
Jouri Taste,3.6,7,restaurants,East Dammam Al Adamah,,,26.4153857,50.1162181,,,,Dammam
MISHWAR,4.1,935,restaurants,East Dammam Al Adamah,,,26.41529882295328,50.11658090304105,,,,Dammam
Thoug Luqaimat,4.7,129,restaurants,King Fahd Park Dammam,,,26.421993,50.026727,,,,Dammam
Pizza Top,4.3,23,restaurants,King Fahd Park Dammam,,,26.4210057,50.0265724,,,,Dammam
Jawharat Anbar Restaurant serves Bukhari meals,3.6,17,restaurants,King Fahd Park Dammam,,,26.36880701214863,50.07959550000312,,,,Dammam
Location Coffee,3.8,4,restaurants,King Fahd Park Dammam,,,26.4568139,50.1009864,,,,Dammam
Healthy Nation,4.6,242,restaurants,King Fahd Park Dammam,,,26.36878689316598,50.08197107605744,,,,Dammam
Al Raqi Grills,4.0,2,restaurants,King Fahd Park Dammam,,,26.42076065315974,50.02632979293203,,,,Dammam
Second Cup,5.0,7,restaurants,King Fahd Park Dammam,,,26.45681874834133,50.10113174418029,,,,Dammam
8OZ Specialty Coffee,4.4,251,restaurants,King Fahd Park Dammam,,,26.372798,50.099532,,,,Dammam
Diyar Al Sham,0.0,0,restaurants,King Fahd Park Dammam,,,26.44167655828154,50.12070087301635,,,,Dammam
Labieh,4.2,41,restaurants,King Fahd Park Dammam,,,26.3727919,50.09960889999999,,,,Dammam
Hadramout Beach,3.0,4,restaurants,King Fahd Park Dammam,,,26.416247,50.025761,,,,Dammam
BABIL,4.4,22,restaurants,King Fahd Park Dammam,,,26.4594565,50.09460089999999,,,,Dammam
Borabora Juice,4.5,96,restaurants,East Dammam Al Adamah,,,26.3662751,50.18391769999999,,,,Dammam
Jarrah And Saj,4.3,89,restaurants,East Dammam Al Adamah,,,26.362509,50.196403,,,,Dammam
Bskt,5.0,3,restaurants,East Dammam Al Adamah,,,26.36258428636773,50.19663648728856,,,,Dammam
Marble Slab Creamery,4.7,180,restaurants,East Dammam Al Adamah,,,26.3625751,50.1982983,,,,Dammam
Five Guys,4.5,676,restaurants,East Dammam Al Adamah,,,26.3391112,50.1526727,,,,Dammam
BRNX,4.4,256,restaurants,East Dammam Al Adamah,,,26.3390031,50.1526477,,,,Dammam
Zaatar W Zeit,4.5,1226,restaurants,East Dammam Al Adamah,,,26.3036875,50.2047969,,,,Dammam
Sweet Juice,4.0,35,restaurants,King Fahd Park Dammam,,,26.43675838107708,50.05345158098565,,,,Dammam
Al Reem Sweet,3.6,30,restaurants,King Fahd Park Dammam,,,26.4373278,50.0536334,,,,Dammam
Hala Al Dammam Fast Food,4.4,54,restaurants,King Fahd Park Dammam,,,26.437535,50.053675,,,,Dammam
Nutria,4.7,160,restaurants,King Fahd Park Dammam,,,26.39524,50.104789,,,,Dammam
Al Deek Al Romie,4.5,121,restaurants,King Fahd Park Dammam,,,26.424403,50.044498,,,,Dammam
Coffee Warehouse,4.6,62,restaurants,King Fahd Park Dammam,,,26.394773,50.104747,,,,Dammam
Marble Slab Creamery,4.5,110,restaurants,King Fahd Park Dammam,,,26.425369,50.111585,,,,Dammam
Grill Shack,4.4,565,restaurants,King Fahd Park Dammam,,,26.394034,50.104605,,,,Dammam
Wild Burger,4.4,40,restaurants,King Fahd Park Dammam,,,26.387041,50.061052,,,,Dammam
Maimona Restaurant,4.2,31,restaurants,King Fahd Park Dammam,,,26.433991,50.106799,,,,Dammam
Shawarma Hlayel,4.3,292,restaurants,King Fahd Park Dammam,,,26.394018,50.104741,,,,Dammam
BIG BUN,4.2,198,restaurants,King Fahd Park Dammam,,,26.39391966865113,50.10473420919266,,,,Dammam
Nando's,4.6,276,restaurants,Al Khobar Gate,,,26.283508,50.220206,,,,Khobar
Buffalo Wild Wings,4.4,219,restaurants,Al Khobar Gate,,,26.283434,50.220328,,,,Khobar
Operation Falafel,4.4,2062,restaurants,Al Khobar Gate,,,26.28340304164327,50.22049465979147,,,,Khobar
Samosa King,4.1,17,restaurants,Al Khobar Gate,,,26.2898836,50.1908828,,,,Khobar
Koushari Atrees,2.7,15,restaurants,Al Khobar Gate,,,26.28986996561786,50.19090041349183,,,,Khobar
Shawarmetna,4.1,80,restaurants,Al Khobar Gate,,,26.28336954201057,50.22045213935622,,,,Khobar
TGB Burger,4.2,4,restaurants,Al Khobar Gate,,,26.302324,50.17803199999999,,,,Khobar
Sushi By Farm,4.4,108,restaurants,Al Khobar Gate,,,26.3594632,50.2071491,,,,Khobar
Regal Burger,4.6,72,restaurants,Al Khobar Gate,,,26.302108,50.17815,,,,Khobar
Nahawand,3.6,15,restaurants,Al Khobar Gate,,,26.29811618676642,50.18109613158865,,,,Khobar
P.F Changs,4.6,215,restaurants,Al Khobar Gate,,,26.2832466,50.2198684,,,,Khobar
Hashem,4.6,168,restaurants,Al Khobar Gate,,,26.288805,50.192546,,,,Khobar
Tawy,3.3,3,restaurants,Al Khobar Promenade,,,26.4009815,50.1043611,,,,Khobar
Fish Face,4.3,91,restaurants,Al Khobar Promenade,,,26.30761564983292,50.18061089881134,,,,Khobar
ALRAYAN RESTAURANT,4.4,103,restaurants,Al Khobar Promenade,,,26.3053621,50.1784391,,,,Khobar
Smokin Tacos,4.1,50,restaurants,Al Khobar Promenade,,,26.3075863,50.1806855,,,,Khobar
Smokit,4.6,571,restaurants,Al Khobar Promenade,,,26.3614375,50.1940625,,,,Khobar
OAK Smoke House,4.6,48,restaurants,Al Khobar Promenade,,,26.307624,50.180793,,,,Khobar
LUFF,4.6,75,restaurants,Al Khobar Promenade,,,26.3076203,50.1808174,,,,Khobar
IHOP,4.4,516,restaurants,Al Khobar Promenade,,,26.3076203,50.1808174,,,,Khobar
Dice,4.0,34,restaurants,Al Khobar Promenade,,,26.3076203,50.1808174,,,,Khobar
Wok Kong,4.0,602,restaurants,Al Khobar Promenade,,,26.3076097,50.18081549999999,,,,Khobar
City Wok,4.0,103,restaurants,Al Khobar Promenade,,,26.3076097,50.18081549999999,,,,Khobar
Crisp,3.6,38,restaurants,Al Khobar Promenade,,,26.30766325416165,50.18087574232789,,,,Khobar
Shawarma sana’a,4.3,290,restaurants,Al Rakah,,,26.36189390000001,50.19697129999999,,,,Khobar
Ennabi Grill,4.4,478,restaurants,Al Rakah,,,26.361864,50.197003,,,,Khobar
Manoosha Alreef,4.6,713,restaurants,Al Rakah,,,26.3625,50.196232,,,,Khobar
Hashem,4.3,236,restaurants,Al Rakah,,,26.361902,50.196902,,,,Khobar
OHAYO,4.6,24,restaurants,Al Rakah,,,26.3903527,50.1813114,,,,Khobar
Hazolate,5.0,2,restaurants,Al Rakah,,,26.37542232208142,50.18497083743439,,,,Khobar
TREAT,5.0,2,restaurants,Al Rakah,,,26.3559022,50.2044472,,,,Khobar
Shabiyat,4.0,39,restaurants,Al Rakah,,,26.35286607371363,50.2112033422323,,,,Khobar
Ftoor Faris,4.3,172,restaurants,Al Rakah,,,26.3528565204674,50.21114123236313,,,,Khobar
Salad & Tacos,4.6,357,restaurants,Al Rakah,,,26.3619807,50.1950087,,,,Khobar
capon burger,4.5,78,restaurants,Al Rakah,,,26.3618118,50.1950629,,,,Khobar
Crazy kitchen,3.6,18,restaurants,Al Khobar Promenade,,,26.29052006633954,50.21625124292218,,,,Khobar
Enrich,0.0,0,restaurants,Al Khobar Promenade,,,26.28403177580378,50.21062385376234,,,,Khobar
X-Fire,4.0,40,restaurants,Al Khobar Promenade,,,26.2886957,50.2148084,,,,Khobar
SEWAR,4.2,24,restaurants,Al Khobar Promenade,,,26.2886957,50.2148084,,,,Khobar
AlReef Restaurant,4.4,20,restaurants,Al Khobar Promenade,,,26.28718499999999,50.2136393,,,,Khobar
Muftah Samak,4.7,10,restaurants,Al Khobar Promenade,,,26.2888282,50.21506189999999,,,,Khobar
Jungle Juice,0.0,0,restaurants,Al Khobar Promenade,,,26.2906209,50.2166662,,,,Khobar
Alliwaa Alakhder,4.4,73,restaurants,Al Khobar Promenade,,,26.2864303,50.213176,,,,Khobar
LIEL ALMAHROUSA,4.1,159,restaurants,Al Khobar Promenade,,,26.28828178284724,50.21478140978698,,,,Khobar
Pearl oyster resto café,4.2,5,restaurants,Al Khobar Promenade,,,26.4409942,50.11777109999999,,,,Khobar
ِAl Dahna Sandwiches,3.7,73,restaurants,Al Khobar Promenade,,,26.2908301,50.2169387,,,,Khobar
KFC,4.1,590,restaurants,Dammam Corniche,,,26.4542317,50.11931279999999,,,,Dammam
Hardee's,4.3,400,restaurants,Dammam Corniche,,,26.4542317,50.11931279999999,,,,Dammam
Ratio,4.4,31,restaurants,Dammam Corniche,,,26.452169,50.130095,,,,Dammam
Dar Mubarak,4.4,781,restaurants,Dammam Corniche,,,26.45217711959233,50.13009963187714,,,,Dammam
017 Cafe,4.3,126,restaurants,Dammam Corniche,,,26.4520807,50.1303101,,,,Dammam
Krispy Kreme Doughnuts,4.6,82,restaurants,Dammam Corniche,,,26.454265,50.118849,,,,Dammam
Tikka King,0.0,0,restaurants,Dammam Corniche,,,26.4546693,50.12100419999999,,,,Dammam
CHICKEN LAND,2.3,17,restaurants,Dammam Corniche,,,26.4546693,50.12100419999999,,,,Dammam
BURGERINA,4.1,37,restaurants,Dammam Corniche,,,26.4546693,50.12100419999999,,,,Dammam
Zafi chicken,4.4,133,restaurants,Dammam Corniche,,,26.4548,50.121,,,,Dammam
